symbol,ts_ms,price,size,side
AAPL,1736928084253,152.0,93,buy
SPY,1736928084360,400.68,11,buy
MSFT,1736928085363,299.29,8,buy
TSLA,1736928088916,194.04,83,buy
SPY,1736928089502,400.61,1,sell
NVDA,1736928089717,499.09,73,buy
NVDA,1736928092554,501.63,34,sell
SPY,1736928093204,399.74,44,buy
SPY,1736928093495,399.2,14,sell
TSLA,1736928093731,194.24,99,sell
SPY,1736928094472,399.21,64,buy
MSFT,1736928095678,302.41,53,buy
TSLA,1736928096012,195.44,2,buy
SPY,1736928096139,399.79,65,buy
MSFT,1736928096886,297.57,84,sell
TSLA,1736928097094,194.51,59,buy
TSLA,1736928098257,197.06,80,buy
AAPL,1736928099328,152.99,52,buy
NVDA,1736928099956,499.17,74,sell
MSFT,1736928100141,299.73,16,buy
AAPL,1736928100642,151.58,41,sell
MSFT,1736928100802,300.35,55,buy
SPY,1736928102620,400.72,63,sell
TSLA,1736928102810,196.28,36,buy
MSFT,1736928103618,296.78,58,buy
TSLA,1736928103665,199.96,36,buy
MSFT,1736928106600,297.42,24,buy
SPY,1736928108532,401.16,66,sell
NVDA,1736928108716,501.28,84,sell
NVDA,1736928109535,503.46,61,buy
TSLA,1736928110909,197.75,85,sell
AAPL,1736928111242,151.43,80,sell
SPY,1736928111620,399.0,38,sell
SPY,1736928111773,399.26,21,buy
NVDA,1736928112471,503.19,84,buy
TSLA,1736928113335,199.12,66,sell
AAPL,1736928113822,151.32,81,buy
TSLA,1736928114102,195.36,1,buy
NVDA,1736928114630,500.32,66,buy
TSLA,1736928116152,199.17,61,sell
MSFT,1736928116422,298.55,31,sell
TSLA,1736928116770,199.51,66,sell
NVDA,1736928117651,500.3,60,buy
TSLA,1736928117780,195.6,16,buy
SPY,1736928118556,400.83,40,sell
TSLA,1736928123534,198.33,2,buy
MSFT,1736928123920,300.31,36,sell
MSFT,1736928124924,303.23,30,buy
TSLA,1736928124985,198.12,76,buy
NVDA,1736928126582,499.52,20,buy
SPY,1736928126686,399.06,73,buy
AAPL,1736928126776,151.99,4,sell
NVDA,1736928127936,500.48,2,buy
TSLA,1736928128096,196.52,58,buy
SPY,1736928128271,400.89,99,sell
MSFT,1736928128364,300.05,4,sell
SPY,1736928128839,399.02,17,buy
SPY,1736928129772,399.38,31,buy
MSFT,1736928130689,297.54,23,sell
SPY,1736928130712,400.93,5,sell
MSFT,1736928130854,299.48,32,buy
MSFT,1736928132205,300.05,15,sell
NVDA,1736928133394,501.74,23,buy
MSFT,1736928134547,297.61,95,sell
AAPL,1736928134734,152.46,55,sell
TSLA,1736928134992,195.36,93,sell
AAPL,1736928135492,153.21,80,sell
SPY,1736928135697,400.72,100,sell
NVDA,1736928136825,503.58,66,sell
AAPL,1736928137011,151.09,48,buy
SPY,1736928137040,399.56,31,buy
AAPL,1736928137700,151.89,44,sell
SPY,1736928137729,399.51,5,buy
AAPL,1736928138416,151.29,79,buy
MSFT,1736928138960,299.07,70,buy
MSFT,1736928139111,298.14,75,buy
SPY,1736928139819,400.56,14,sell
MSFT,1736928140178,302.68,17,buy
NVDA,1736928140246,500.04,77,sell
AAPL,1736928141418,151.8,30,sell
SPY,1736928142183,399.19,76,buy
SPY,1736928142594,400.31,32,buy
MSFT,1736928142749,299.32,85,sell
TSLA,1736928142793,198.25,71,sell
SPY,1736928144638,399.83,98,buy
NVDA,1736928145316,504.24,60,sell
NVDA,1736928145501,499.64,30,buy
SPY,1736928145727,399.44,24,buy
SPY,1736928145918,399.67,87,buy
TSLA,1736928147217,199.35,60,sell
NVDA,1736928147465,500.66,20,buy
AAPL,1736928147887,149.57,17,sell
AAPL,1736928148785,151.87,12,sell
NVDA,1736928153381,501.74,72,sell
AAPL,1736928153706,151.88,89,sell
NVDA,1736928153793,502.02,15,sell
SPY,1736928154229,401.34,36,sell
SPY,1736928154419,400.38,87,sell
NVDA,1736928154867,504.07,10,sell
NVDA,1736928157566,499.46,17,buy
AAPL,1736928157810,152.4,100,buy
NVDA,1736928159125,503.93,54,buy
MSFT,1736928159736,299.67,30,sell
MSFT,1736928162009,301.84,49,buy
AAPL,1736928162490,153.16,98,buy
SPY,1736928163532,400.97,56,buy
MSFT,1736928163908,303.28,99,buy
NVDA,1736928165822,499.09,76,sell
SPY,1736928165926,399.34,45,buy
AAPL,1736928166480,150.46,100,buy
MSFT,1736928167540,297.32,8,buy
TSLA,1736928168183,199.17,37,buy
NVDA,1736928170542,500.38,51,sell
AAPL,1736928170647,151.72,63,buy
MSFT,1736928171386,297.0,72,sell
NVDA,1736928171463,501.88,34,buy
TSLA,1736928172811,199.74,50,buy
SPY,1736928173252,400.41,44,buy
SPY,1736928174197,399.67,4,sell
MSFT,1736928174352,300.02,31,buy
TSLA,1736928175632,195.58,14,sell
TSLA,1736928175937,198.22,19,buy
MSFT,1736928176994,298.63,3,sell
TSLA,1736928178792,200.11,99,sell
AAPL,1736928181584,151.68,10,sell
TSLA,1736928182452,194.9,37,buy
SPY,1736928183103,399.61,81,sell
AAPL,1736928184553,150.59,41,sell
MSFT,1736928189362,302.57,17,sell
MSFT,1736928191416,297.66,31,sell
TSLA,1736928191640,195.48,9,sell
SPY,1736928192219,399.83,68,buy
TSLA,1736928192884,198.94,33,sell
MSFT,1736928194117,296.87,97,buy
AAPL,1736928194741,149.84,100,buy
AAPL,1736928198379,149.42,69,buy
AAPL,1736928199409,149.83,82,sell
SPY,1736928200825,400.84,90,sell
SPY,1736928202858,399.27,66,sell
NVDA,1736928204162,499.73,68,buy
TSLA,1736928204181,195.36,5,sell
MSFT,1736928204838,298.3,80,sell
AAPL,1736928205538,150.24,18,sell
AAPL,1736928205745,152.34,60,buy
SPY,1736928206916,398.94,43,buy
NVDA,1736928207683,499.89,8,buy
NVDA,1736928208297,500.07,91,buy
SPY,1736928208392,399.97,36,buy
MSFT,1736928209008,297.47,44,buy
NVDA,1736928210570,498.61,55,sell
SPY,1736928210646,400.44,69,buy
AAPL,1736928211659,150.73,22,buy
MSFT,1736928211941,298.35,94,sell
SPY,1736928212323,399.62,3,buy
SPY,1736928213875,401.32,11,sell
AAPL,1736928214408,152.18,6,buy
AAPL,1736928214974,151.81,49,sell
SPY,1736928216169,399.99,2,sell
NVDA,1736928217268,500.83,60,sell
SPY,1736928217726,399.69,43,buy
NVDA,1736928219486,500.65,100,sell
AAPL,1736928219682,151.77,62,sell
MSFT,1736928220035,299.07,96,sell
AAPL,1736928220678,150.73,36,sell
NVDA,1736928220827,502.52,7,sell
AAPL,1736928221341,152.62,56,sell
MSFT,1736928221564,299.58,82,buy
MSFT,1736928222023,297.24,19,sell
MSFT,1736928222989,301.79,56,sell
AAPL,1736928223227,149.76,39,buy
AAPL,1736928223888,149.5,71,sell
AAPL,1736928224730,151.19,93,sell
AAPL,1736928227142,152.54,53,buy
AAPL,1736928228396,150.32,75,sell
SPY,1736928228464,400.0,18,sell
SPY,1736928229487,399.09,77,sell
AAPL,1736928229736,151.73,42,sell
MSFT,1736928231325,299.45,10,sell
TSLA,1736928234508,198.92,12,sell
MSFT,1736928235025,297.17,71,buy
SPY,1736928235818,400.67,89,sell
TSLA,1736928238836,197.22,9,sell
AAPL,1736928239548,150.37,81,sell
SPY,1736928239817,400.88,61,buy
NVDA,1736928240287,500.74,95,buy
AAPL,1736928241142,150.35,95,buy
TSLA,1736928241868,197.31,34,sell
MSFT,1736928242426,297.09,90,sell
MSFT,1736928242508,299.02,13,sell
AAPL,1736928242886,149.53,77,buy
AAPL,1736928244371,152.91,38,buy
SPY,1736928245751,400.03,44,buy
NVDA,1736928245762,502.65,44,buy
MSFT,1736928246133,299.39,34,buy
TSLA,1736928247475,196.11,86,sell
TSLA,1736928248225,195.42,43,sell
TSLA,1736928248334,195.05,18,sell
SPY,1736928248462,399.07,47,buy
MSFT,1736928249578,301.97,28,buy
MSFT,1736928250393,299.13,64,buy
MSFT,1736928250618,301.02,41,sell
MSFT,1736928250729,299.94,43,sell
NVDA,1736928250800,499.67,98,sell
TSLA,1736928252535,194.06,86,sell
SPY,1736928253323,400.76,84,sell
NVDA,1736928253949,500.31,17,buy
MSFT,1736928254674,301.6,32,buy
NVDA,1736928255846,500.29,98,sell
MSFT,1736928255877,299.16,74,sell
NVDA,1736928256633,502.02,92,sell
TSLA,1736928256909,197.65,73,sell
MSFT,1736928257494,296.76,99,buy
SPY,1736928258645,399.38,27,sell
AAPL,1736928260056,149.36,7,buy
TSLA,1736928261494,197.35,77,buy
AAPL,1736928264499,150.6,80,sell
TSLA,1736928264638,195.51,11,buy
TSLA,1736928266393,199.21,39,sell
AAPL,1736928266981,149.24,72,buy
MSFT,1736928267852,297.03,50,buy
NVDA,1736928270853,499.46,6,buy
AAPL,1736928272258,149.46,61,sell
SPY,1736928273356,400.05,34,sell
SPY,1736928274985,399.52,55,sell
AAPL,1736928275398,149.49,51,sell
TSLA,1736928276458,197.05,39,buy
SPY,1736928276918,401.29,48,buy
AAPL,1736928279084,149.7,24,sell
NVDA,1736928279270,501.53,17,buy
TSLA,1736928279664,199.85,13,buy
MSFT,1736928280503,299.08,59,buy
SPY,1736928280685,399.72,48,buy
AAPL,1736928281550,150.6,11,buy
NVDA,1736928281600,503.41,15,sell
TSLA,1736928281953,199.17,62,buy
AAPL,1736928282572,152.77,91,sell
MSFT,1736928283325,300.95,52,sell
TSLA,1736928284793,197.55,90,buy
SPY,1736928288354,399.67,9,sell
SPY,1736928288469,400.98,27,sell
TSLA,1736928289617,198.71,100,buy
SPY,1736928289806,400.92,30,buy
NVDA,1736928291867,503.68,25,buy
SPY,1736928293720,399.12,34,buy
NVDA,1736928296564,500.63,37,buy
SPY,1736928297145,398.92,55,sell
AAPL,1736928299499,151.84,2,buy
TSLA,1736928300584,195.45,52,sell
AAPL,1736928301701,152.58,4,sell
AAPL,1736928301792,151.24,69,sell
TSLA,1736928302254,194.86,73,buy
MSFT,1736928302992,297.84,6,buy
SPY,1736928303481,400.64,75,buy
SPY,1736928303681,399.68,23,buy
TSLA,1736928303948,194.59,10,sell
SPY,1736928307131,401.59,81,sell
TSLA,1736928308100,195.74,22,buy
NVDA,1736928308298,501.57,62,sell
NVDA,1736928308670,500.25,74,sell
TSLA,1736928308908,195.53,42,sell
MSFT,1736928309357,296.87,77,buy
TSLA,1736928309869,197.88,4,sell
NVDA,1736928310699,500.39,87,sell
MSFT,1736928310870,297.14,93,buy
AAPL,1736928311848,150.78,99,sell
MSFT,1736928312215,298.21,80,sell
TSLA,1736928313409,199.01,42,buy
AAPL,1736928313490,152.93,51,buy
TSLA,1736928313850,197.88,80,sell
MSFT,1736928314095,299.44,100,buy
SPY,1736928315515,399.56,41,buy
AAPL,1736928315546,152.5,6,sell
SPY,1736928316110,401.23,73,sell
AAPL,1736928316313,152.66,38,buy
MSFT,1736928316336,298.97,99,sell
TSLA,1736928316806,199.94,74,sell
SPY,1736928318167,399.54,82,buy
TSLA,1736928318368,196.46,20,sell
SPY,1736928319214,399.72,14,buy
MSFT,1736928319986,297.57,98,buy
TSLA,1736928320094,199.05,83,sell
NVDA,1736928320302,501.56,70,buy
AAPL,1736928320426,152.73,25,buy
TSLA,1736928321900,200.34,6,sell
AAPL,1736928323223,152.16,84,sell
MSFT,1736928324130,299.37,76,sell
SPY,1736928324202,401.06,99,buy
TSLA,1736928324415,195.05,27,buy
SPY,1736928325199,401.58,64,sell
NVDA,1736928325630,499.71,85,sell
NVDA,1736928325795,499.04,22,buy
SPY,1736928327088,399.45,29,buy
NVDA,1736928327325,500.86,64,sell
MSFT,1736928327903,299.0,72,buy
NVDA,1736928328721,500.35,33,buy
AAPL,1736928328874,151.29,35,buy
NVDA,1736928330674,500.03,25,sell
MSFT,1736928330756,301.62,5,buy
MSFT,1736928331190,300.2,54,sell
NVDA,1736928331854,499.76,79,sell
TSLA,1736928332910,195.54,66,sell
SPY,1736928333219,401.2,70,sell
NVDA,1736928334289,503.67,24,sell
NVDA,1736928334619,503.7,95,sell
AAPL,1736928334895,150.21,85,buy
TSLA,1736928334948,195.22,63,buy
TSLA,1736928335064,197.58,60,buy
MSFT,1736928335731,297.65,3,buy
AAPL,1736928336052,151.9,85,buy
AAPL,1736928337759,152.55,14,sell
TSLA,1736928339803,199.04,13,sell
SPY,1736928340404,399.39,63,sell
AAPL,1736928340628,149.47,22,buy
SPY,1736928342224,401.35,17,sell
SPY,1736928343112,400.34,89,sell
TSLA,1736928344455,197.97,84,sell
AAPL,1736928344986,149.87,68,buy
AAPL,1736928345757,150.07,34,buy
NVDA,1736928348482,502.32,37,buy
TSLA,1736928348833,195.24,57,buy
AAPL,1736928349108,150.91,68,buy
SPY,1736928350475,399.16,86,buy
NVDA,1736928350990,500.73,84,sell
NVDA,1736928352796,499.4,41,buy
TSLA,1736928353007,195.32,71,buy
TSLA,1736928353065,198.41,95,sell
NVDA,1736928353727,500.72,87,buy
NVDA,1736928354228,502.33,57,sell
SPY,1736928355044,399.64,76,buy
TSLA,1736928356859,195.52,33,buy
TSLA,1736928358044,200.07,66,sell
AAPL,1736928359917,149.91,68,buy
AAPL,1736928360242,151.5,64,sell
TSLA,1736928360245,196.92,92,sell
SPY,1736928361522,399.57,33,buy
MSFT,1736928362266,298.9,99,sell
SPY,1736928362561,400.7,61,buy
MSFT,1736928363352,297.12,46,sell
AAPL,1736928365223,151.66,44,buy
AAPL,1736928366496,150.6,48,buy
TSLA,1736928366957,195.23,66,buy
SPY,1736928368169,401.13,92,buy
SPY,1736928369425,400.78,28,buy
AAPL,1736928370306,149.31,71,sell
MSFT,1736928371321,301.52,21,buy
NVDA,1736928371571,501.45,66,buy
TSLA,1736928372269,194.61,12,sell
MSFT,1736928372899,297.52,77,sell
TSLA,1736928373130,197.54,32,buy
TSLA,1736928373461,195.48,84,sell
TSLA,1736928373551,194.79,54,buy
SPY,1736928373889,400.06,64,buy
AAPL,1736928375276,152.81,97,buy
SPY,1736928375403,399.52,50,buy
NVDA,1736928375501,500.34,77,sell
SPY,1736928375626,400.69,71,sell
MSFT,1736928376045,298.67,41,sell
AAPL,1736928376987,152.86,39,sell
AAPL,1736928377744,150.56,15,buy
NVDA,1736928378580,501.36,37,sell
NVDA,1736928379557,502.74,24,buy
SPY,1736928380772,399.69,47,buy
MSFT,1736928380877,302.16,29,buy
AAPL,1736928380904,150.54,6,buy
TSLA,1736928381143,195.28,47,buy
TSLA,1736928382123,200.01,59,buy
MSFT,1736928382921,297.95,11,sell
SPY,1736928382981,399.03,90,buy
NVDA,1736928383363,498.61,21,buy
TSLA,1736928384077,197.95,11,buy
AAPL,1736928384245,152.62,18,sell
NVDA,1736928384874,498.83,91,sell
TSLA,1736928385105,199.14,81,buy
SPY,1736928385523,399.75,34,buy
MSFT,1736928385693,297.36,87,buy
SPY,1736928385965,399.56,28,sell
SPY,1736928386553,400.79,11,buy
NVDA,1736928387080,500.41,98,sell
TSLA,1736928387166,196.46,70,buy
TSLA,1736928388237,195.35,100,buy
AAPL,1736928388394,150.83,48,buy
TSLA,1736928388946,196.33,38,buy
MSFT,1736928389053,297.19,63,sell
NVDA,1736928389407,501.6,32,buy
SPY,1736928390053,399.6,83,buy
NVDA,1736928390589,501.32,62,buy
NVDA,1736928391181,500.16,13,buy
MSFT,1736928391377,298.76,23,sell
NVDA,1736928391422,500.02,11,sell
NVDA,1736928393341,502.66,83,buy
AAPL,1736928393650,150.36,52,sell
AAPL,1736928394338,151.79,70,sell
TSLA,1736928394728,194.83,26,buy
TSLA,1736928395067,199.42,42,sell
TSLA,1736928395917,198.73,60,buy
SPY,1736928396126,400.41,39,sell
MSFT,1736928397359,297.47,74,sell
SPY,1736928398642,400.75,12,sell
SPY,1736928400457,400.61,43,sell
TSLA,1736928401877,195.46,53,buy
AAPL,1736928404216,149.96,78,buy
MSFT,1736928405281,301.1,62,buy
AAPL,1736928405568,150.59,53,buy
TSLA,1736928405576,198.86,82,buy
SPY,1736928406080,400.35,69,buy
NVDA,1736928406131,500.68,1,sell
AAPL,1736928407129,151.16,48,buy
SPY,1736928409128,399.78,70,buy
NVDA,1736928409864,501.24,27,buy
AAPL,1736928410075,150.88,7,buy
NVDA,1736928411954,502.0,49,buy
MSFT,1736928412724,297.07,47,sell
TSLA,1736928413085,195.0,53,sell
SPY,1736928413172,398.79,37,sell
MSFT,1736928415774,301.54,55,sell
NVDA,1736928415931,501.83,71,sell
TSLA,1736928417366,198.64,99,sell
AAPL,1736928417909,152.47,1,buy
AAPL,1736928418058,153.08,30,sell
NVDA,1736928418178,498.56,94,sell
TSLA,1736928418255,198.52,96,buy
SPY,1736928420232,399.87,65,buy
MSFT,1736928420308,297.59,58,sell
TSLA,1736928421418,195.1,85,sell
MSFT,1736928424265,300.07,5,sell
TSLA,1736928424639,194.45,71,sell
NVDA,1736928425533,498.44,13,sell
TSLA,1736928425582,195.12,95,buy
SPY,1736928425908,399.99,1,sell
MSFT,1736928428574,299.14,55,buy
MSFT,1736928428581,297.15,36,sell
TSLA,1736928429598,198.89,29,sell
NVDA,1736928429936,498.99,70,buy
TSLA,1736928430625,198.36,17,buy
MSFT,1736928430923,302.98,53,buy
AAPL,1736928430958,150.21,8,buy
MSFT,1736928431261,299.68,94,sell
NVDA,1736928431676,501.95,53,sell
SPY,1736928431876,400.98,60,sell
AAPL,1736928432554,152.26,92,buy
TSLA,1736928434817,198.8,51,buy
AAPL,1736928435470,152.46,40,sell
TSLA,1736928436288,195.18,69,buy
MSFT,1736928436384,301.61,78,sell
AAPL,1736928437042,152.27,30,buy
NVDA,1736928437470,501.05,75,sell
SPY,1736928438130,399.78,55,buy
SPY,1736928438189,400.9,97,sell
SPY,1736928438902,400.46,39,buy
MSFT,1736928439058,300.93,33,buy
NVDA,1736928439480,499.3,27,sell
AAPL,1736928440496,149.72,47,buy
TSLA,1736928440809,199.06,34,sell
TSLA,1736928442357,194.13,47,buy
MSFT,1736928443027,300.25,79,sell
MSFT,1736928444067,297.57,60,sell
AAPL,1736928444082,149.41,22,buy
NVDA,1736928444466,499.66,44,buy
MSFT,1736928446791,297.85,24,buy
AAPL,1736928447113,149.2,77,sell
AAPL,1736928448341,151.94,13,buy
MSFT,1736928448469,299.19,82,sell
TSLA,1736928449180,198.12,46,sell
MSFT,1736928449512,299.1,77,sell
SPY,1736928450776,399.5,41,buy
AAPL,1736928451334,150.85,31,buy
NVDA,1736928452712,500.59,56,sell
TSLA,1736928453448,193.7,19,sell
TSLA,1736928453449,198.05,19,sell
NVDA,1736928453705,498.83,45,buy
NVDA,1736928454995,500.87,16,buy
MSFT,1736928455106,299.41,2,buy
SPY,1736928455566,399.42,8,sell
AAPL,1736928457024,149.08,40,sell
NVDA,1736928457099,500.31,3,buy
SPY,1736928458236,399.31,6,sell
TSLA,1736928460348,195.04,62,buy
AAPL,1736928460446,151.84,87,buy
SPY,1736928461296,399.49,91,sell
AAPL,1736928461348,151.61,65,buy
TSLA,1736928461512,198.81,70,buy
AAPL,1736928462241,151.28,31,sell
SPY,1736928465185,399.69,97,buy
NVDA,1736928465657,502.72,96,sell
TSLA,1736928465753,198.53,85,buy
NVDA,1736928466021,499.21,13,buy
AAPL,1736928466629,152.01,98,sell
NVDA,1736928467376,502.59,68,buy
SPY,1736928467910,399.25,62,buy
NVDA,1736928468881,498.63,55,buy
AAPL,1736928469715,150.79,8,buy
AAPL,1736928469914,151.26,66,buy
SPY,1736928472007,399.48,23,sell
MSFT,1736928472804,300.8,25,buy
TSLA,1736928473359,196.19,28,sell
NVDA,1736928473852,499.59,93,sell
SPY,1736928475540,400.87,4,buy
MSFT,1736928476371,299.34,26,sell
SPY,1736928477503,399.53,51,sell
AAPL,1736928477962,149.83,63,buy
NVDA,1736928478132,499.82,28,sell
MSFT,1736928479918,297.25,41,sell
AAPL,1736928480063,152.08,98,buy
TSLA,1736928480101,198.53,12,sell
AAPL,1736928481421,151.29,11,buy
MSFT,1736928482353,300.32,27,buy
NVDA,1736928482546,501.9,4,sell
TSLA,1736928483652,195.5,60,buy
MSFT,1736928484708,301.63,58,buy
AAPL,1736928484744,152.15,79,sell
NVDA,1736928484963,501.8,55,sell
MSFT,1736928485609,297.71,6,sell
TSLA,1736928486249,194.76,29,sell
NVDA,1736928486882,501.68,69,buy
MSFT,1736928487274,297.74,47,buy
MSFT,1736928487778,298.89,87,sell
NVDA,1736928488324,502.69,35,buy
MSFT,1736928488755,297.42,62,sell
TSLA,1736928488974,198.32,96,buy
NVDA,1736928490097,499.13,7,sell
NVDA,1736928490100,502.81,81,sell
NVDA,1736928490300,502.85,72,buy
NVDA,1736928491262,502.12,10,buy
NVDA,1736928491281,499.59,69,buy
SPY,1736928491448,399.4,22,buy
AAPL,1736928491671,149.99,10,sell
MSFT,1736928491843,297.82,41,buy
NVDA,1736928491969,502.82,64,buy
TSLA,1736928492240,198.25,68,sell
MSFT,1736928494322,298.59,20,buy
SPY,1736928494354,400.43,46,buy
AAPL,1736928494874,151.95,88,sell
TSLA,1736928495251,198.54,3,buy
MSFT,1736928495299,300.37,42,buy
NVDA,1736928495876,500.04,75,buy
AAPL,1736928495907,151.4,22,sell
AAPL,1736928497784,150.97,79,buy
NVDA,1736928499524,502.7,47,sell
TSLA,1736928499784,195.46,95,buy
TSLA,1736928500163,194.0,28,buy
TSLA,1736928502153,198.1,4,sell
MSFT,1736928502682,301.45,99,sell
TSLA,1736928502889,196.03,27,buy
TSLA,1736928503669,196.58,75,buy
AAPL,1736928503834,150.8,58,buy
AAPL,1736928504285,150.09,59,buy
TSLA,1736928506120,195.19,80,sell
AAPL,1736928506251,152.39,25,buy
SPY,1736928506477,399.25,100,sell
TSLA,1736928506553,193.88,61,sell
SPY,1736928507505,399.37,83,buy
TSLA,1736928507984,194.84,56,sell
AAPL,1736928510029,152.43,22,sell
MSFT,1736928510477,297.84,24,buy
NVDA,1736928511106,500.59,45,buy
NVDA,1736928511343,500.92,55,buy
NVDA,1736928512783,499.69,88,sell
MSFT,1736928513359,300.35,44,sell
NVDA,1736928514297,501.64,31,sell
TSLA,1736928516118,196.07,23,buy
TSLA,1736928517859,198.51,12,buy
TSLA,1736928518143,195.88,29,sell
AAPL,1736928518526,152.83,42,buy
NVDA,1736928518577,499.21,22,sell
MSFT,1736928521232,297.51,16,sell
TSLA,1736928522509,199.23,39,buy
TSLA,1736928522648,200.38,69,sell
SPY,1736928524472,400.25,81,sell
TSLA,1736928525634,198.74,94,sell
SPY,1736928525640,399.73,70,buy
SPY,1736928525706,399.85,83,buy
TSLA,1736928525988,195.54,57,buy
NVDA,1736928526155,501.5,64,sell
AAPL,1736928526412,152.73,68,buy
SPY,1736928526863,399.72,5,buy
NVDA,1736928527281,501.49,60,buy
NVDA,1736928527681,501.48,59,sell
MSFT,1736928528262,300.88,52,buy
NVDA,1736928528809,503.23,76,buy
SPY,1736928529035,401.73,100,buy
AAPL,1736928531175,149.61,96,sell
NVDA,1736928532408,502.15,70,sell
NVDA,1736928535408,502.61,19,sell
SPY,1736928536602,399.69,60,sell
AAPL,1736928537977,152.5,7,buy
SPY,1736928539926,401.34,4,sell
MSFT,1736928542352,299.03,96,buy
TSLA,1736928542376,197.28,5,buy
SPY,1736928543649,399.25,7,sell
AAPL,1736928543934,151.88,77,buy
MSFT,1736928544356,300.08,69,sell
TSLA,1736928544520,198.96,11,buy
AAPL,1736928544940,151.8,80,buy
